date,self_built,rqalpha_align,rqalpha_full
2018-02-28,1931180.4714288185,1844559.4568,1783885.6245
2018-03-01,1938184.2068635023,1850565.4568,1786474.6245
2018-03-02,1935608.5639500218,1848144.9882,1782474.4453
2018-03-05,1941342.5534965952,1852699.9882,1786933.4453
2018-03-06,1950168.607284689,1859914.9882,1793940.4453
2018-03-07,1945453.3999106186,1856160.9882,1790282.4453
2018-03-08,1960285.2569183242,1868242.9882,1802032.4453
2018-03-09,1967173.4830593797,1873829.9882,1807508.4453
2018-03-12,1972093.5072573142,1877790.9882,1811336.4453
2018-03-13,1962601.7407437216,1870113.9882,1803869.4453
2018-03-14,1952255.9092469637,1861774.9882,1795772.4453
2018-03-15,1948110.5587456787,1858386.9882,1792504.4453
2018-03-16,1944803.195631213,1855724.9882,1789911.4453
2018-03-19,1945759.226921232,1856449.9882,1790602.4453
2018-03-20,1948175.4980520057,1858445.9882,1792598.4453
2018-03-21,1943971.8215386001,1855001.9882,1789266.4453
2018-03-22,1935691.3129285476,1848311.9882,1782738.4453
2018-03-23,1899651.7780002696,1818971.9882,1754310.4453
2018-03-26,1902163.3379061008,1820872.9882,1756269.4453
2018-03-27,1914212.3333512645,1830671.9882,1765753.4453
2018-03-28,1905550.136588849,1823648.9882,1758900.4453
2018-03-29,1910094.7031261027,1827423.9882,1762477.4453
2018-03-30,1922241.4433975723,1837085.9882,1771928.4453
2018-04-02,1919843.325016564,1835017.9882,1769971.4453
2018-04-03,1903086.4633083267,1821430.2994,1755856.1905
2018-04-04,1890048.2047074647,1809500.2994,1744392.1905
2018-04-09,1880119.6228297858,1800230.2994,1735504.1905
2018-04-10,1893608.6523498704,1810230.2994,1745213.1905
2018-04-11,1897788.2634241267,1813259.2994,1748152.1905
2018-04-12,1880279.1786917695,1798930.2994,1734318.1905
2018-04-13,1873935.0118565506,1793854.2994,1729396.1905
2018-04-16,1848683.8273233906,1772959.2994,1709232.1905
2018-04-17,1838305.1384771601,1764289.2994,1700870.1905
2018-04-18,1843620.8760110403,1768613.2994,1705051.1905
2018-04-19,1850097.2606624365,1774054.2994,1710293.1905
2018-04-20,1835201.6461441184,1761560.2994,1698230.1905
2018-04-23,1836143.219879069,1762062.2994,1698727.1905
2018-04-24,1859068.006359409,1780906.2994,1716931.1905
2018-04-25,1845512.1837202474,1769683.2994,1706088.1905
2018-04-26,1837852.1156281515,1763247.2994,1699868.1905
2018-04-27,1849507.4720358253,1772945.2994,1709238.1905
2018-05-02,1848045.1293656034,1771766.2994,1708103.1905
2018-05-03,1854013.9778836172,1777216.1108,1712645.1019
2018-05-04,1851428.6820725626,1774936.1108,1710452.1019
2018-05-07,1860166.9144083308,1782545.1108,1717798.1019
2018-05-08,1866851.0919301177,1788291.1108,1723337.1019
2018-05-09,1866059.2783543188,1787541.1108,1722619.1019
2018-05-10,1869104.4950057562,1790206.1108,1725195.1019
2018-05-11,1863215.0567426176,1785000.1108,1720172.1019
2018-05-14,1866720.9847724314,1787971.1108,1723017.1019
2018-05-15,1877541.1166112116,1797238.1108,1731958.1019
2018-05-16,1870450.8891296275,1791017.1108,1725973.1019
2018-05-17,1873722.4562185886,1793834.1108,1728702.1019
2018-05-18,1885701.9044963813,1804218.1108,1738720.1019
2018-05-21,1895078.5558457368,1812455.1108,1746650.1019
2018-05-22,1891791.4950471818,1809584.1108,1743885.1019
2018-05-23,1881835.4689006316,1800855.1108,1735472.1019
2018-05-24,1873282.4833223985,1793468.1108,1728366.1019
2018-05-25,1874938.204245912,1794823.1108,1729661.1019
2018-05-28,1862877.3713881592,1784353.1108,1719572.1019
2018-05-29,1864618.8717005537,1785717.1108,1720902.1019
2018-05-30,1825776.1029566545,1751719.1108,1688152.1019
2018-05-31,1841148.8971275536,1764959.184,1700915.6362
2018-06-01,1834995.641961034,1759620.184,1695769.6362
2018-06-04,1833581.6091638277,1759335.876,1694521.7325
2018-06-05,1833373.6184501424,1759467.876,1694640.7325
2018-06-06,1831053.7133507917,1757603.876,1692851.7325
2018-06-07,1831046.4666871997,1757597.276,1692858.4825
2018-06-08,1808137.019355534,1737759.876,1673759.9825
2018-06-11,1809717.0346857465,1738904.676,1674810.7325
2018-06-12,1809433.7173660283,1739751.276,1675621.7325
2018-06-13,1799943.2473697083,1731234.696,1667415.0925
2018-06-14,1800072.9274364696,1731885.496,1668044.5925
2018-06-15,1798068.0350979178,1730210.366,1666432.4225
2018-06-19,1757395.635407708,1692321.346,1629930.1125
2018-06-20,1751682.6613802451,1687934.356,1625694.5425
2018-06-21,1733854.7611296915,1672254.026,1610538.4425
2018-06-22,1727126.3324355362,1666687.746,1605143.6625
2018-06-25,1707233.101280475,1649131.156,1588212.2725
2018-06-26,1689508.6715502725,1634540.656,1574151.1725
2018-06-27,1673517.2131246435,1620651.086,1560784.3325
2018-06-28,1664991.5908825544,1613301.6491,1553688.9493
2018-06-29,1683559.1261745403,1629666.4291,1569421.6293
2018-07-02,1650942.873240969,1601314.2791,1542112.5593
2018-07-03,1657029.5039394456,1606276.3514,1546019.0543
2018-07-04,1652137.5255814248,1602251.1014,1542123.1043
2018-07-05,1647489.7636476553,1598312.6014,1538416.9643
2018-07-06,1646424.5657417742,1597634.1614,1537730.0743
2018-07-09,1676324.82546068,1622602.7014,1561777.2743
2018-07-10,1673562.4204929443,1620277.0114,1559545.8143
2018-07-11,1660796.3291876805,1609463.0714,1549116.3143
2018-07-12,1680536.190597617,1626012.8014,1565052.9743
2018-07-13,1674496.267794559,1620940.9414,1560177.1543
2018-07-16,1662504.538069703,1610848.9214,1550460.1943
2018-07-17,1655033.5038348776,1604894.7514,1544722.0843
2018-07-18,1654607.7252753694,1604504.5995,1544305.8983
2018-07-19,1650349.927243797,1600917.3595,1540824.6483
2018-07-20,1665434.612493997,1613494.2463,1553038.694
2018-07-23,1667925.4888318344,1614856.3263,1554444.914
2018-07-24,1681095.250725546,1625751.6563,1564987.394
2018-07-25,1671414.9075645774,1617348.3163,1556918.584
2018-07-26,1660944.79609592,1608841.2663,1548731.294
2018-07-27,1653117.301203936,1602292.8863,1542461.214
2018-07-30,1662066.4186964133,1609662.6463,1549590.134
2018-07-31,1669306.1575706126,1615788.1763,1555502.574
2018-08-01,1652113.6322433306,1600709.2763,1540998.504
2018-08-02,1617416.0459321092,1570284.6528,1510779.6775
2018-08-03,1607671.6173276827,1561874.9528,1502734.4675
