date,strategy_nav,benchmark_nav
2013-07-05,736854.791796667,741251.9185812536
2013-07-08,722424.186743783,720204.5288337257
2013-07-09,727137.9946556196,719888.302038531
2013-07-10,738655.295069774,740325.2076361781
2013-07-11,759652.4729131584,774485.3575343364
2013-07-12,747922.8272935405,757404.1175391698
2013-07-15,750968.3578101809,768030.6693389496
2013-07-16,753427.6346793837,771542.7839874735
2013-07-17,746862.7734805603,759888.3286681559
2013-07-18,739152.6238178362,747403.0290532536
2013-07-19,728226.5512168809,729145.0925096525
2013-07-22,731521.858661612,733043.3367186245
2013-07-23,745972.5822167768,754232.5292185236
2013-07-24,742253.2140623596,748675.5922511787
2013-07-25,744942.4062754957,744858.2355277144
2013-07-26,744770.2711289395,740306.2340284664
2013-07-29,735683.663493673,724315.8100415656
2013-07-30,739439.7091975624,728782.2638709556
2013-07-31,737745.5767512707,729991.5817098417
2013-08-01,747929.547652523,747415.0123844399
2013-08-02,747732.8011352358,748047.1331045183
2013-08-05,754040.564053736,758388.0821776909
2013-08-06,755299.1840443221,763484.9923756056
2013-08-07,749233.9019395687,759151.686670508
2013-08-08,748186.4843822755,757873.1318069899
2013-08-09,750480.107108852,760944.8590344165
2013-08-12,765156.1367418772,783175.2698662827
2013-08-13,766560.9861914888,785263.6981958097
2013-08-14,762725.7518694182,781938.9895322274
2013-08-15,757198.4483637993,772783.7245058791
2013-08-16,754532.632439523,766981.1292492143
2013-08-19,756665.5333956223,776063.8285478232
2013-08-20,749686.7554729427,769750.943104808
2013-08-21,749793.4213839993,768460.7377804142
2013-08-22,746656.8096942919,766910.5607433392
2013-08-23,743958.5833647338,761250.7668499784
2013-08-26,759076.6574251188,777457.2236685437
2013-08-27,763439.6464012165,779209.7858545431
2013-08-28,775726.2918000614,774940.7241194167
2013-08-29,772793.084299395,771696.9029413421
2013-08-30,789348.218736205,770231.9407038143
2013-09-02,779204.7708172359,772373.6282830583
2013-09-03,784040.7914838525,783743.8123570114
2013-09-04,785667.9748567396,782477.906565301
2013-09-05,780709.4298170964,779494.0570999075
2013-09-06,784471.5596455619,784835.6269762096
2013-09-09,820784.1960695357,812406.2762031348
2013-09-10,825601.2069070236,823818.7348065508
2013-09-11,834319.1496289184,826480.032940846
2013-09-12,844158.8709357122,834657.3249942664
2013-09-13,833851.6671052426,828481.5821192721
2013-09-16,829291.8212376859,824982.4494128667
2013-09-17,812115.8138469544,807983.4283844507
2013-09-18,815410.4075384028,809710.3595565237
2013-09-23,820154.7779533841,822951.2747767855
2013-09-24,807849.9434329773,813496.75934109
2013-09-25,802619.5405576938,808551.9708751794
2013-09-26,790588.6919702053,793710.2823306116
2013-09-27,793773.1066402823,797214.7409619887
2013-09-30,796638.9846003429,801896.8947527322
2013-10-08,806154.1309998513,812806.3863166337
2013-10-09,807314.8348836936,816724.9356145603
2013-10-10,803957.867320879,808647.5046543592
2013-10-11,814882.5525271377,821693.0250022218
2013-10-14,824159.4066813523,823035.8238357112
2013-10-15,829437.4319713569,821363.1505242875
2013-10-16,817795.0740250396,806002.5171652898
2013-10-17,817953.168486806,803325.9069967009
2013-10-18,816342.1573740757,807561.3488304436
2013-10-21,828111.6980870846,822629.7220566194
2013-10-22,826887.8581595186,814164.4971844165
2013-10-23,816541.5621660969,805043.8506703842
2013-10-24,811763.8132819795,799058.8424834389
