date,symbol,side,shares,price,value,cost
2019-08-02,600068.SH,buy,2356.69721887881,35.64633426,84007.61681376645,16.80152336275329
2019-08-02,600795.SH,sell,1.0779733822174127,661.04241345,712.5861262158578,0.14251722524317156
2019-08-02,601818.SH,sell,308.4084706318303,5.53786968,1707.9259185671835,0.3415851837134367
2019-08-02,600919.SH,buy,167.08380500510603,7.490543399999999,1251.5484928278838,0.2503096985655768
2019-08-02,601390.SH,buy,11485.854577002052,7.272384375,83529.54935931195,16.70590987186239
2019-09-03,601006.SH,sell,6015.8937614558745,13.914779130000001,83709.8329602034,16.741966592040683
2019-09-03,000898.SZ,sell,8306.676849488491,9.307863740000002,77317.41624725139,15.463483249450277
2019-09-03,601898.SH,sell,15561.294710101947,5.944136445000001,92498.4590177027,18.49969180354054
2019-09-03,600221.SH,sell,13695.035800552605,6.06386655,83044.86949202341,16.608973898404685
2019-09-03,601228.SH,sell,20609.311857356624,3.9299540400000006,80993.64839543858,16.198729679087716
2019-09-03,600068.SH,sell,2356.69721887881,34.980501,82438.44942168743,16.487689884337488
2019-09-03,601390.SH,sell,11485.854577002052,7.102377035000001,81576.86977504902,16.315373955009807
2019-09-03,601328.SH,buy,185.00779452116942,10.06573035,1862.2385722982988,0.3724477144596598
2019-09-03,600919.SH,sell,150.76812233826612,7.39502064,1114.933376545523,0.22298667530910463
2019-09-03,601288.SH,buy,181.67017369722345,5.35497615,972.8394473149888,0.19456788946299777
2019-09-03,600028.SH,buy,32.39234425092684,15.228250319999999,493.27872670472675,0.09865574534094536
2019-09-03,601988.SH,buy,67.02247785121688,6.39643662,428.70503169066257,0.08574100633813252
2019-09-03,601857.SH,buy,97.6255262750063,8.159917920000002,796.6162813008549,0.159323256260171
2019-09-03,600016.SH,sell,8.27804666776938,151.9669785,1257.989739982906,0.2515979479965812
2019-09-03,601398.SH,buy,64.4463187442656,9.55965744,616.0847304642301,0.12321694609284603
2019-09-03,600795.SH,buy,0.8299902753186459,640.9444520700001,531.9776622375381,0.10639553244750762
2019-09-03,600015.SH,sell,2.6572006939456125,31.936033995000003,84.86045169338468,0.016972090338676936
2019-09-03,601939.SH,buy,6733.820362019605,12.163038479999999,81903.71618065199,16.3807432361304
2019-09-03,601169.SH,buy,93.22996260956633,18.1008459,1687.541186458522,0.33750823729170437
2019-09-03,600926.SH,buy,4833.312754661801,16.9456686,81903.71618065199,16.3807432361304
2019-09-03,601229.SH,buy,3497.9163104458707,23.41500165,81903.71618065197,16.380743236130396
2019-09-03,601998.SH,buy,9856.4547334005,8.30965275,81903.71618065197,16.380743236130396
2019-09-03,600208.SH,buy,4111.939024633517,19.918514279999997,81903.71618065197,16.380743236130396
2019-09-03,601838.SH,buy,9324.884130723665,8.783349480000002,81903.71618065197,16.380743236130396
2019-09-03,600023.SH,buy,528.6866881223893,6.495436095,3434.0505969761753,0.6868101193952351
2019-09-03,601818.SH,buy,11.494470162215874,5.400538919999999,62.07633347582553,0.012415266695165105
2019-09-03,600177.SH,buy,354.65912517723086,229.78699608,81496.05500683657,16.299211001367315
2019-10-09,601857.SH,sell,10044.279864679263,8.162606655,81987.50566811344,16.39750113362269
2019-10-09,600028.SH,sell,5382.148960361553,15.44023602,83101.65024278,16.620330048556
2019-10-09,601818.SH,sell,15176.4508555211,5.8090540200000005,88160.82285159729,17.632164570319457
2019-10-09,601939.SH,sell,6733.820362019605,12.451121324999999,83843.61430826152,16.768722861652304
2019-10-09,600926.SH,sell,4833.312754661801,17.875058000000003,86395.74582171947,17.279149164343895
2019-10-09,601998.SH,sell,9856.4547334005,8.4041958,82835.5754733346,16.56711509466692
2019-10-09,600208.SH,sell,4111.939024633517,19.7623139,81261.42974246739,16.252285948493476
2019-10-09,601838.SH,sell,9324.884130723665,8.72119722,81324.15355768935,16.264830711537872
2019-10-09,600795.SH,buy,7.119303821674456,614.99528397,4378.338275479388,0.8756676550958777
2019-10-09,600221.SH,buy,14351.729884570297,5.780889,82965.7574206837,16.59315148413674
2019-10-09,601988.SH,buy,21.160135159993704,6.46871274,136.87883588957322,0.027375767177914647
2019-10-09,601398.SH,sell,124.41675268361514,9.81636936,1221.3207989141374,0.2442641597828275
2019-10-09,601985.SH,buy,14622.517240882944,5.6738355,82965.7574206837,16.59315148413674
2019-10-09,601006.SH,buy,6177.362411299785,13.43061195,82965.7574206837,16.59315148413674
2019-10-09,600023.SH,buy,557.8992185537617,6.301058954999999,3515.3558670556818,0.7030711734111363
2019-10-09,601288.SH,sell,24.8198217788381,5.427834725,134.71789051948872,0.026943578103897744
2019-10-09,600016.SH,sell,6.544386830360891,155.83054575,1019.8153713742504,0.20396307427485008
2019-10-09,601229.SH,sell,76.94454668658979,24.24455166,1865.4860370983079,0.37309720741966157
2019-10-09,600089.SH,buy,336.5673100688855,246.50569124999998,82965.7574206837,16.59315148413674
2019-10-09,000709.SZ,buy,3249.0586866304625,25.53532128,82965.7574206837,16.59315148413674
2019-10-09,600177.SH,sell,0.1258763768974363,233.94376960000005,29.44799411497661,0.005889598822995322
